length,ListingPrice,Year,Bea,Displacement,S.A./Disp.,FuelCapacity,Water,RiggingType,DWL
40.0,205284.0,2019.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
46.0,509000.0,2011.0,4.14,13854.0,17.21,303.0,568.0,1.0,19.81
43.0,224719.0,2007.0,4.2,9400.0,20.6,220.0,360.0,16.0,20.14
54.0,615000.0,2010.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
38.0,163984.0,2019.0,3.99,6400.0,18.2,130.0,330.0,23.0,16.46
40.0,220000.0,2013.0,4.2,8820.0,17.2,200.0,570.0,22.0,15.1
50.0,631642.0,2011.0,4.66,16700.0,17.6,460.0,680.0,16.0,22.97
51.0,510172.0,2019.0,4.8,13930.0,16.1,200.0,770.0,37.0,21.85
45.0,249000.0,2013.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
55.0,759185.0,2019.0,4.96,16900.0,15.67,400.0,694.0,1.0,23.33
40.0,216187.0,2019.0,4.2,8740.0,21.15,200.0,380.0,2.0,18.95
40.0,216502.0,2019.0,4.2,8950.0,17.68,200.0,380.0,1.0,16.4
42.0,795000.0,2015.0,4.06,9296.0,20.7,180.0,320.0,4.0,20.12
54.0,792729.0,2008.0,4.57,21500.0,15.1,1200.0,960.0,19.0,22.58
39.0,206490.0,2017.0,3.87,8300.0,18.77,190.0,220.0,34.0,17.15
40.0,220000.0,2013.0,4.2,8900.0,20.4,200.0,380.0,29.0,17.7
43.0,255086.0,2019.0,4.3,10900.0,17.25,250.0,430.0,15.0,19.7
40.0,205256.0,2016.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
54.0,727025.0,2008.0,4.62,20000.0,17.27,500.0,500.0,21.0,22.32
44.0,240477.0,2013.0,4.35,10500.0,16.32,250.0,530.0,1.0,19.8
39.0,151876.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7
39.0,151816.0,2009.0,3.85,5900.0,26.3,150.0,200.0,28.0,17.7
56.0,722646.0,2017.0,5.2,20100.0,19.14,520.0,810.0,3.0,26.35
41.0,226487.0,2017.0,4.2,8950.0,17.08,200.0,330.0,3.0,16.65
45.0,255052.0,2016.0,4.49,10812.0,17.42,200.0,330.0,13.0,19.13
46.0,570907.0,2019.0,4.42,13000.0,19.4,360.0,460.0,29.0,21.8
51.0,499619.0,2017.0,4.69,14400.0,14.8,240.0,640.0,20.0,22.2
55.0,618000.0,2017.0,4.87,17700.0,17.09,410.0,930.0,5.0,21.1
50.0,1311872.0,2017.0,4.48,17200.0,20.92,400.0,750.0,1.0,22.85
48.0,691190.0,2017.0,4.77,15000.0,17.7,600.0,900.0,11.0,22.67
48.0,642600.0,2017.0,4.77,15000.0,17.7,600.0,900.0,11.0,22.67
44.0,229000.0,2013.0,4.42,9900.0,17.1,200.0,400.0,24.0,16.8
40.0,205256.0,2018.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
40.0,200425.0,2018.0,3.96,8300.0,18.27,210.0,360.0,1.0,18.2
